"welcome_title";"metadata_title";"country";"crops_all.vegetables";"crops_all.fruits";"crops_all.almonds";"crops_all.avocado";"crops_all.barley";"crops_all.Cassava";"crops_all.chick_pea";"crops_all.Chili";"crops_all.coffee";"crops_all.Cotton";"crops_all.cow_pea";"crops_all.egyptian_clover";"crops_all.faba_beans";"crops_all.field_beans";"crops_all.ground_nuts";"crops_all.Jute";"crops_all.Maize";"crops_all.Millet";"crops_all.Mustard";"crops_all.Oilseeds";"crops_all.okra";"crops_all.olive";"crops_all.paprika";"crops_all.Pulses";"crops_all.Rice";"crops_all.sorgham";"crops_all.soya_bean";"crops_all.squash";"crops_all.Sugarcane";"crops_all.sunflower";"crops_all.tea";"crops_all.tobacco";"crops_all.tomato";"crops_all.vetch";"crops_all.Wheat";"crops_all.other1";"crops_all.other2";"crops_all.other3";"crops_all.no_answer";"crops_other1";"crops_other2";"crops_other3";"deviceid";"starttime_auto";"start_time_user";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"";"";"Kenya";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245724995";"7de31e17-a2e4-4c09-bed7-a911d9a99697";"2023-06-14T09:44:50";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"1"
"";"";"Kenya";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725059";"8d4a7507-acc8-49c9-b6ed-3d072a1ed850";"2023-06-14T09:45:03";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"2"
"";"";"Kenya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725108";"efd25b03-dee6-43fb-9d18-00d3ed640cce";"2023-06-14T09:45:12";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"3"
"";"";"Kenya";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725178";"796326e9-b95f-4025-a717-897618a1f691";"2023-06-14T09:45:24";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"4"
"";"";"Kenya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725267";"06eedbb6-48da-4b6e-9ec8-16e2fce6e078";"2023-06-14T09:45:35";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"5"
"";"";"Kenya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725314";"be3bbdd3-21eb-4080-9b65-efb71eb7d696";"2023-06-14T09:45:41";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"6"
"";"";"Kenya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725396";"5df450ba-8af7-402b-9747-a374f03f27fb";"2023-06-14T09:45:52";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"7"
"";"";"Kenya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725466";"a7448b35-e0c3-4401-bc01-a4cdb1f1354a";"2023-06-14T09:46:02";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"8"
"";"";"Kenya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"";"";"";"";"";"";"245725516";"457e4c23-998d-4fce-86b1-9ec81d4f3b3b";"2023-06-14T09:46:10";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"9"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"Tef";"";"";"";"";"";"245725611";"56c63a6c-b7f6-4b1b-a0d9-0bbdc9caaec4";"2023-06-14T09:46:25";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"10"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"Tef";"";"";"";"";"";"245725725";"da12bf5e-f0ae-49c1-9919-7ea582660a9f";"2023-06-14T09:46:38";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"11"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"Tef";"Enset";"";"";"";"";"245725839";"709bcc64-2a85-4eaf-8673-09956311183c";"2023-06-14T09:46:55";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"12"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245725962";"781f515b-bfe1-4cf5-8638-9e278f22ea54";"2023-06-14T09:47:11";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"13"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726017";"9c7fab7c-6047-4aba-909f-814f2f6baca1";"2023-06-14T09:47:19";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"14"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"Enset";"Tef";"";"";"";"";"245726112";"239f5e5c-6666-42cb-8381-dde54456795e";"2023-06-14T09:47:34";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"15"
"";"";"Ethiopia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726166";"16625b77-472f-4d90-a6de-483026df53d8";"2023-06-14T09:47:45";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"16"
"";"";"Uganda";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726268";"456f978c-9a5f-4244-a946-b29ca36eadcb";"2023-06-14T09:48:13";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"17"
"";"";"Uganda";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726309";"a8817bbe-0500-4850-b48c-96b1c02cf143";"2023-06-14T09:48:24";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"18"
"";"";"Uganda";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726369";"2275adf0-7e11-4495-b7f9-17b156d80489";"2023-06-14T09:48:32";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"19"
"";"";"Uganda";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726418";"e5d62164-bcaf-42a8-9f8d-7d342f32727f";"2023-06-14T09:48:40";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"20"
"";"";"Uganda";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726462";"6e1259f1-e9ea-4ecd-8b32-95d3f9199321";"2023-06-14T09:48:51";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"21"
"";"";"Uganda";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726495";"1b94c280-9ec4-4d5c-a6a1-3e53d7c328dd";"2023-06-14T09:48:59";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"22"
"";"";"Uganda";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"245726521";"bab20e73-3e69-4b73-b436-971cfd4963c5";"2023-06-14T09:49:06";"";"";"submitted_via_web";"";"vL4u82udE4bPb4yfWycRiT";"";"23"
